Monthly Returns of Stocks,,,,,
Portfolio_1.Date,Portfolio_1.CSCO,Portfolio_1.EBAY,Portfolio_1.GOOG,,
6/1/2017,-0.73,1.81,-5.82,,
7/1/2017,0.48,2.32,2.40,,
8/1/2017,3.37,1.12,0.95,,
9/1/2017,4.41,6.45,2.11,,
10/1/2017,1.55,-2.13,6.00,,
11/1/2017,10.17,-7.89,0.47,,
12/1/2017,2.68,8.85,2.45,,
1/1/2018,8.46,7.53,11.81,,
2/1/2018,8.60,5.62,-5.57,,
3/1/2018,-4.22,-6.11,-6.60,,
4/1/2018,1.98,3.38,3.46,,
,,,,,
Average,3.341023503,1.903490726,1.057547679,,
Stock Variance,18.90836429,29.38364121,30.07902362,,
,,,,,
Stock Monthly Returns less Average Returns,,,,,
Portfolio_1.Date,Portfolio_1.CSCO,Portfolio_1.EBAY,Portfolio_1.GOOG,,
6/1/2017,-4.070494427,-0.095913414,-6.874972577,,
7/1/2017,-2.861787707,0.416102763,1.338105648,,
8/1/2017,0.032368855,-0.783980511,-0.108593676,,
9/1/2017,1.067550508,4.545437963,1.048205106,,
10/1/2017,-1.794791801,-4.035576065,4.940724771,,
11/1/2017,6.826816307,-9.794035569,-0.588359183,,
12/1/2017,-0.660059816,6.951439118,1.389075289,,
1/1/2018,5.118517416,5.621681106,10.74863678,,
2/1/2018,5.262742817,3.715037829,-6.631334736,,
3/1/2018,-7.561658786,-8.016414055,-7.660060721,,
4/1/2018,-1.359203365,1.476220835,2.3985733,,
,,,,,
,,,,,
,Portfolio_1.CSCO,Portfolio_1.EBAY,Portfolio_1.GOOG,,
Portfolio_1.CSCO,18.90836429,4.675616151,8.62502868,,
Portfolio_1.EBAY,4.675616151,29.38364121,10.22824818,,
Portfolio_1.GOOG,8.62502868,10.22824818,30.07902362,,
,,,,,
,Weight,,,Portfolio Return,2.100687303
Portfolio_1.CSCO,0.333333333,,,Portfolio Variance,13.93653502
Portfolio_1.EBAY,0.333333333,,,Portfolio STD,3.733166888
Portfolio_1.GOOG,0.333333333,,,,
